359 428 535 1617 2848
SHAD 0 0 0 2 0
SEES 14 7 7 11 214
PROGRESS 0 0 0 1 2
ON 24 26 26 82 55
INSIDER 0 0 0 5 0
TRADING 1 0 3 4 4
Securities 2 1 16 200 43
and 1436 1516 1609 4119 3049
Exchange 5 8 9 179 29
Commission 5 50 7 121 26
chairman 13 12 17 136 76
John 22 7 2 21 10
Shad 0 0 0 8 0
said 896 626 1143 3910 2183
progress 1 4 5 6 16
was 438 298 514 737 438
being 37 45 36 102 33
made 42 67 59 195 100
in 1581 1387 2012 3331 3431
stopping 0 0 2 1 0
insider 0 0 0 15 2
trading, 0 0 9 4 4
but 176 160 222 272 202
the 3518 3711 5624 8254 5295
of 1874 2081 2568 6355 5008
a 1327 1049 1669 4114 2969
House 31 45 34 21 6
subcommittee 6 16 4 8 0
with 317 289 478 1048 494
jurisdiction 0 1 0 2 0
over 80 88 84 159 121
securities 0 0 78 84 46
laws 0 0 1 19 3
he 287 202 434 426 258
concerned 1 2 11 8 7
about 189 104 192 569 351
conditions 13 11 18 51 8
on 489 399 715 1060 1031
Wall 1 0 2 40 9
Street. 0 0 0 2 0
"Greed 0 0 0 1 0
has 251 276 338 1185 341
created 2 2 6 12 5
feeding 0 2 0 1 0
frenzy 0 0 0 2 0
Street 1 0 1 30 9
process 2 4 8 13 7
are 194 256 276 370 224
broken 1 1 2 4 2
multi-billion 0 0 0 1 0
dlr 57 10 27 221 333
corporations 0 1 5 8 1
have 197 271 280 420 179
become 18 9 15 58 10
easy 2 1 3 1 2
prey," 0 0 0 1 0
Rep. 1 23 0 3 0
Edward 1 4 0 5 2
Markey, 0 0 0 1 0
D-Mass, 0 0 0 1 0
Telecommunications 0 0 0 15 13
Finance 9 7 78 26 10
at 426 415 698 796 521
start 15 13 23 17 25
hearing 1 5 1 11 1
SEC 0 0 0 59 2
activities. 0 1 1 8 9
"Congress 0 0 0 1 0
is 448 469 563 1333 624
understandably 0 0 0 1 0
nervous. 0 0 0 1 0
We 4 8 3 9 4
perceive 0 0 1 1 0
current 40 69 136 86 113
scandals 0 0 0 1 0
as 312 246 402 574 376
warning 5 1 5 2 0
even 17 21 30 25 17
worse 0 2 3 2 2
things 1 3 6 7 1
to 2137 2252 2818 5240 3357
come," 0 0 0 1 0
Markey 0 0 0 2 0
said. 545 714 665 784 508
"The 46 39 84 55 37
disruption 1 0 2 1 2
by 435 356 526 1083 615
merger 3 1 0 352 24
mania 0 0 0 1 0
particularly 9 11 6 10 16
distressing." 0 0 0 1 0
recent 35 35 68 57 42
cases 1 4 1 8 2
involving 1 3 4 9 6
Ivan 0 0 1 2 0
Boesky, 0 0 0 1 0
Dennis 1 0 0 5 0
Levine 0 0 0 2 0
others 6 2 7 13 6
that 555 458 704 1077 493
those 26 32 42 50 33
who 29 51 44 116 25
engage 2 1 0 8 0
trading 18 15 107 63 50
were 251 231 233 338 271
taking 6 13 24 37 8
heavy 16 24 11 9 9
risk 1 5 31 16 18
imprisonment, 0 0 0 1 0
high 34 37 57 37 34
fines 0 0 0 1 1
disbarment 0 0 0 1 0
from 488 425 448 781 1491
industry. 13 3 2 14 4
"Insider 0 0 0 1 0
not 228 283 373 737 350
been 139 155 182 294 149
eradicated, 0 0 0 1 0
it 353 267 481 2621 1152
inhibited 0 0 0 1 0
multimillions 0 0 0 1 0
dollars 4 0 77 6 10
profits 11 4 9 29 212
Boesky 0 0 0 1 0
siphoning 0 0 0 1 0
off 43 14 25 64 40
markets 10 25 102 22 13
now 50 45 92 114 58
flowing 3 0 1 1 1
through 49 66 47 121 67
legitimate 2 1 0 2 0
investors 8 2 31 57 7
traders," 0 0 0 1 0
his 38 27 51 142 28
statement. 10 5 1 46 20
involved 5 5 9 31 11
only 50 62 73 71 46
10 51 54 65 125 396
pct 324 297 433 1051 824
or 97 133 124 650 810
less 31 38 29 35 32
enforcement 0 0 0 9 1
actions 3 5 4 18 3
years 27 42 24 42 46
they 108 148 239 248 48
increased 33 36 17 38 129
significantly 4 3 6 8 20
125 0 4 0 8 10
brought 10 8 13 7 6
during 46 62 42 37 73
past 28 17 35 17 16
five 59 54 59 125 304
compared 36 44 32 21 169
77 0 0 0 1 34
preceeding 0 0 0 1 2
47 6 0 1 6 42
years. 12 19 6 22 21
did 65 34 81 105 56
favor 4 11 2 16 1
banning 0 1 0 1 0
takeovers 0 0 0 18 0
thought 4 8 16 5 1
tender 1 37 29 257 7
offer 18 89 13 665 21
needed 8 11 29 16 7
reform 4 2 3 2 3
including 31 23 33 97 62
