crude grain money-fx acq earn
of 302 362 448 1387 1403
the 313 360 450 1363 827
and 296 332 372 1216 1086
to 304 352 432 1282 908
said 286 250 395 1420 764
in 278 304 397 1112 988
a 294 279 385 1195 868
mln 154 165 153 709 1642
for 233 287 257 1020 817
it 191 141 283 1210 562
The 235 289 395 856 546
its 195 94 205 937 606
cts 19 7 1 25 1947
dlrs 119 84 88 636 1047
vs 0 5 0 0 1919
from 183 200 233 514 749
on 203 188 250 600 596
is 181 181 200 727 395
by 200 177 223 637 346
said. 216 295 267 454 267
with 154 156 230 625 315
at 192 201 308 480 292
has 144 162 170 711 240
pct 121 108 199 622 365
be 155 193 168 545 341
will 167 150 159 553 368
an 167 146 155 558 293
that 187 155 220 477 259
company 83 7 5 651 548
Net 2 1 2 2 1253
was 184 147 219 419 258
Shr 0 0 0 0 1180
not 132 126 189 475 249
QTR 3 0 0 1 1139
which 125 108 154 477 255
as 153 121 169 351 228
or 65 82 85 366 401
year 77 105 80 113 623
loss 10 6 4 36 896
Revs 0 0 0 0 949
would 141 119 164 356 168
Inc 24 7 6 642 262
also 115 85 127 333 253
about 109 69 127 402 203
TO 86 117 96 483 126
NET 0 0 1 1 894
U.S. 122 239 205 192 125
had 100 67 181 367 168
1986 42 32 20 93 686
were 134 125 144 265 183
Corp 57 11 2 539 227
one 91 69 112 226 329
net 15 8 10 64 722
have 111 133 150 290 132
March 49 64 70 195 425
share 19 12 5 315 451
April 28 56 49 97 564
are 112 145 135 246 152
INC 1 0 0 30 754
last 140 108 144 182 205
this 110 148 172 168 172
two 73 89 106 214 287
It 75 55 62 350 216
profit 4 2 3 31 717
but 122 116 134 210 152
shares 8 1 3 508 207
billion 56 29 158 134 336
per 96 85 15 167 344
stock 13 4 21 325 330
been 97 98 116 236 118
31 6 8 8 26 608
he 112 83 161 177 121
dlrs. 41 16 16 294 261
4TH 0 0 0 0 617
NOTE: 0 0 0 0 600
up 90 84 107 180 129
In 67 61 79 215 156
than 76 106 92 160 142
market 53 59 272 111 79
10 41 37 53 109 328
after 90 27 105 128 209
more 76 101 102 180 90
other 56 63 91 217 117
CORP 0 2 0 54 481
Year 0 0 0 0 518
Co 35 6 9 299 157
three 52 55 56 114 224
dlrs, 27 21 17 131 304
told 76 60 110 149 105
five 46 41 54 104 252
dlr 45 9 20 168 249
prior 4 5 1 26 451
new 63 50 77 147 139
common 5 4 11 318 131
they 66 90 117 150 37
div 0 0 0 0 457
Bank 15 3 270 115 53
expected 55 50 73 140 131
Record 0 2 0 0 442
all 50 45 41 235 72
He 90 39 107 113 93
15 22 28 31 60 301
no 70 61 68 175 65
oil 292 13 16 36 79
A 60 55 59 173 86
over 63 70 64 141 93
total 48 58 62 168 95
quarter 16 4 14 26 371
year. 36 44 47 49 254
20 25 39 17 114 235
LOSS 0 0 2 0 426
YEAR 7 3 2 0 414
first 55 36 55 66 213
includes 4 3 0 55 363
